iter	RMSE
0	900.3529073
1	877.188117
2	856.0342961
3	836.6402531
4	819.0576918
5	801.0975981
6	785.3221768
7	770.5831139
8	756.309788
9	742.7375636
10	731.0286142
11	719.6260342
12	706.2940925
13	692.9032774
14	679.7109296
15	667.5856958
16	657.2204925
17	646.4704592
18	637.1997888
19	628.7357605
20	619.7034463
21	612.138967
22	604.1795815
23	596.956922
24	590.5822273
25	584.2561118
26	578.0260307
27	571.9876661
28	566.8330421
29	562.4552829
30	557.0205328
31	553.1155937
32	548.7009332
33	544.1160008
34	539.644942
35	535.5338926
36	532.3467931
37	528.8157814
38	525.5195495
39	522.2093559
40	519.0092019
41	515.8512961
42	513.067922
43	510.2747622
44	507.6597374
45	505.5526329
46	503.4233995
47	501.4321848
48	499.3234485
49	497.3166205
50	495.0195205
51	493.0561933
52	491.1385031
53	489.2946498
54	487.2854499
55	485.1253847
56	483.6467483
57	481.8810663
58	480.3361381
59	478.9556203
60	477.3046525
61	475.7421967
62	474.3537077
63	473.0587495
64	472.21076
65	470.5974143
66	469.0767507
67	467.7878942
68	466.6111308
69	465.4953433
70	464.0109762
71	462.6448323
72	461.2912883
73	460.4578075
74	459.4673454
75	457.9778046
76	456.7963749
77	455.7788661
78	454.8177275
79	453.8035344
80	452.8580129
81	451.7092853
82	450.6935148
83	449.7370552
84	448.8630467
85	447.7682679
86	446.8130367
87	446.0339859
88	445.2098679
89	444.1786873
90	443.1197177
91	442.1742751
92	441.2923967
93	440.3596711
94	439.6330271
95	438.8557608
96	438.2689805
97	437.1613442
98	436.3203277
99	435.521897
100	434.7605241
101	434.0819664
102	433.4262521
103	432.5629835
104	431.7425142
105	430.932035
106	430.1531257
107	429.5669957
108	428.9017793
109	428.4192657
110	427.7216964
111	426.5405309
112	425.7712691
113	425.0321024
114	424.1953529
115	423.5799486
116	422.9451678
117	422.0212607
118	421.1999974
119	420.3892674
120	419.355302
121	418.457838
122	417.8757434
123	417.3678626
124	417.218049
125	416.407448
126	416.2739686
127	415.6833983
128	415.0263854
129	414.2561458
130	413.3454337
131	412.4981233
132	412.0794306
133	411.2036049
134	410.4195147
135	410.0094859
136	409.6933291
137	409.1108405
138	408.3227518
139	407.6220972
140	406.9783338
141	406.2814998
142	405.6172092
143	404.8205583
144	404.3406875
145	404.0033235
146	403.5048664
147	402.9907309
148	402.5195734
149	401.9328247
150	401.4201112
151	400.7418504
152	400.2763923
153	399.841921
154	399.3456391
155	398.9240599
156	398.5479538
157	397.9996423
158	397.7805682
159	397.1863965
160	396.501353
161	395.843625
162	395.4650292
163	395.0468188
164	394.6786547
165	394.1840974
166	393.7788262
167	393.4267106
168	393.0001981
169	392.3547141
170	392.0185468
171	391.5551411
172	391.1391892
173	390.7163572
174	390.0067962
175	389.3905558
176	389.0542263
177	388.6324014
178	388.3363405
179	387.6685067
180	387.3930939
181	387.0064547
182	386.771711
183	386.3758633
184	386.0109908
185	385.4344018
186	385.1587311
187	384.816841
188	384.2387503
189	383.9834299
190	383.6798936
191	383.4434606
192	383.0669919
193	382.4626912
194	382.1855836
195	381.9253618
196	381.6346011
197	381.3904793
198	380.9371347
199	380.75587
200	380.6513062
201	380.3131717
202	379.9002227
203	379.310281
204	378.9131935
205	378.4955721
206	378.0395829
207	377.7618266
208	377.5646453
209	377.1560743
210	376.9332381
211	376.6537158
212	376.2610678
213	376.0477568
214	375.6333058
215	375.4538483
216	375.0795537
217	374.7877329
218	374.5812272
219	374.1614783
220	373.9247355
221	373.5120153
222	373.167432
223	372.7087541
224	372.469969
225	372.2106913
226	371.9441122
227	371.7148352
228	371.5013357
229	371.0223134
230	370.6866915
231	370.2209297
232	369.8277234
233	369.470415
234	369.1399392
235	368.9615723
236	368.7565022
237	368.4159666
238	368.1610057
239	367.6970982
240	367.433286
241	366.9622687
242	366.6756245
243	366.0881148
244	365.8781978
245	365.6155874
246	365.3519421
247	364.8366371
248	364.2977441
249	364.0590456
250	363.7830878
251	363.5414377
252	363.1853398
253	362.85022
254	362.384967
255	362.0447873
256	361.3682567
257	361.0694799
258	360.6932433
259	360.4140515
260	360.0938702
261	359.8281131
262	359.5821954
263	359.2962518
264	358.8004071
265	358.6123949
266	358.3153589
267	357.9774115
268	357.8656282
269	357.5268389
270	357.3484122
271	357.0238007
272	356.4805443
273	356.0602664
274	355.8290133
275	355.6594919
276	355.4629196
277	355.2513018
278	355.0495662
279	354.7471038
280	354.4355382
281	353.8846151
282	353.4810987
283	353.1682121
284	352.8700451
285	352.683154
286	352.4937421
287	352.26205
288	352.0245409
289	351.2165345
290	350.9984437
291	350.8005048
292	350.6519664
293	350.4566701
294	350.19951
295	349.9907385
296	349.7833833
297	349.3608034
298	349.0873727
299	348.9894973
