iter	Passed	Remaining
0	57	57934
1	70	35113
2	79	26363
3	88	21995
4	98	19698
5	109	18186
6	120	17078
7	128	15876
8	138	15209
9	146	14544
10	155	13951
11	164	13510
12	171	13009
13	179	12647
14	189	12413
15	198	12222
16	205	11857
17	213	11666
18	221	11432
19	231	11323
20	240	11198
21	247	10993
22	255	10873
23	268	10931
24	282	11009
25	289	10848
26	299	10782
27	317	11032
28	326	10923
29	334	10826
30	343	10733
31	351	10637
32	360	10558
33	368	10473
34	376	10384
35	384	10296
36	392	10221
37	400	10131
38	409	10100
39	419	10061
40	429	10040
41	437	9989
42	447	9957
43	455	9890
44	466	9906
45	475	9863
46	482	9793
47	492	9762
48	499	9702
49	507	9642
50	517	9636
51	527	9612
52	534	9546
53	544	9535
54	551	9480
55	560	9455
56	568	9412
57	579	9415
58	586	9354
59	594	9316
60	603	9289
61	611	9253
62	617	9187
63	626	9155
64	635	9137
65	643	9111
66	651	9066
67	658	9030
68	666	8986
69	673	8949
70	680	8904
71	689	8888
72	697	8856
73	705	8828
74	714	8816
75	723	8797
76	731	8771
77	740	8751
78	747	8719
79	755	8682
80	764	8677
81	774	8675
82	782	8644
83	792	8639
84	798	8596
85	807	8582
86	815	8556
87	822	8523
88	831	8511
89	842	8515
90	849	8488
91	858	8468
92	866	8451
93	873	8423
94	881	8398
95	890	8381
96	896	8349
97	905	8330
98	913	8317
99	923	8313
100	937	8341
101	946	8334
102	956	8330
103	965	8317
104	974	8310
105	983	8291
106	991	8276
107	1000	8261
108	1006	8228
109	1015	8213
110	1023	8200
111	1031	8180
112	1040	8166
113	1048	8147
114	1056	8131
115	1064	8114
116	1072	8092
117	1080	8079
118	1087	8054
119	1096	8037
120	1105	8032
121	1111	8002
122	1122	8003
123	1130	7982
124	1134	7941
125	1144	7935
126	1147	7888
127	1155	7872
128	1162	7851
129	1174	7858
130	1181	7836
131	1188	7817
132	1197	7803
133	1207	7803
134	1214	7781
135	1222	7768
136	1230	7751
137	1238	7737
